id,title,upload_date,view_count,like_count,comment_count,duration,description,tags,url,topic,confidence,rationale,date,dow,dow_num,hosts,host_pair,n_hosts,has_krystal,has_saagar,has_ryan,has_emily,log_views,log_likes,log_duration,segment_position,segments_that_day
QH84WFIzAMg,Joe Kent Dire Warning Trump SHOULD LEAVE Iran NOW,2026-04-27,341418,8801,1300,514,"Krystal and Saagar are joined by Joe Kent to discuss the latest on the Iran war. 

Joe Kent: https://x.com/joekent16jan19?s=20


Sign up for a PREMIUM Breaking Points subscriptions for full early access to uncut shows and LIVE AMAs with the hosts every week: https://breakingpoints.locals.com/support

Merch Store: https://shop.breakingpoints.com/

To listen to Breaking Points as a podcast, check them out on Apple and Spotify

Apple: https://podcasts.apple.com/us/podcast/breaking-points-with-krystal-and-saagar/id1570045623
 
Spotify: https://open.spotify.com/show/4Kbsy61zJSzPxNZZ3PKbXl
 
Facebook: https://www.facebook.com/people/Breaking-Points/61575893472315/

#news #politics #youtube","['breaking points', 'krystal ball', 'saagar enjeti']",https://www.youtube.com/watch?v=QH84WFIzAMg,Foreign Policy / War,0.9,Analysis of Trump's Iran war policy and withdrawal recommendations.,2026-04-27,Monday,0,"['Krystal', 'Saagar']",Krystal & Saagar,2,1,1,0,0,12.74086281202994,9.082620630373812,6.2422232654551655,1,6
LMfkFLeXJ3o,"Joe Kent REACTS: Trump, Admin DEFEND Secret Service After WHCD Shooting",2026-04-27,149947,4329,777,767,"Krystal and Saagar are joined by Joe Kent to discuss the WHCD shooting security failures. 

Joe Kent: https://x.com/joekent16jan19?s=20


Sign up for a PREMIUM Breaking Points subscriptions for full early access to uncut shows and LIVE AMAs with the hosts every week: https://breakingpoints.locals.com/support

Merch Store: https://shop.breakingpoints.com/

To listen to Breaking Points as a podcast, check them out on Apple and Spotify

Apple: https://podcasts.apple.com/us/podcast/breaking-points-with-krystal-and-saagar/id1570045623
 
Spotify: https://open.spotify.com/show/4Kbsy61zJSzPxNZZ3PKbXl
 
Facebook: https://www.facebook.com/people/Breaking-Points/61575893472315/

#news #politics #youtube","['breaking points', 'krystal ball', 'saagar enjeti']",https://www.youtube.com/watch?v=LMfkFLeXJ3o,Domestic Politics,0.85,Discussion of Secret Service security failure at political event.,2026-04-27,Monday,0,"['Krystal', 'Saagar']",Krystal & Saagar,2,1,1,0,0,11.918037177308129,8.37309184744198,6.642486801367256,2,6
z8RQeIdv87U,Conspiracy Theories ERUPT After WHCD Shooting,2026-04-27,270097,6990,2400,1518,"Krystal and Saagar discuss the conspiracies surrounding the WHCD shooting. 

Sign up for a PREMIUM Breaking Points subscriptions for full early access to uncut shows and LIVE AMAs with the hosts every week: https://breakingpoints.locals.com/support

Merch Store: https://shop.breakingpoints.com/

To listen to Breaking Points as a podcast, check them out on Apple and Spotify

Apple: https://podcasts.apple.com/us/podcast/breaking-points-with-krystal-and-saagar/id1570045623
 
Spotify: https://open.spotify.com/show/4Kbsy61zJSzPxNZZ3PKbXl
 
Facebook: https://www.facebook.com/people/Breaking-Points/61575893472315/

#news #politics #youtube","['breaking points', 'krystal ball', 'saagar enjeti']",https://www.youtube.com/watch?v=z8RQeIdv87U,Domestic Politics,0.8,Coverage of conspiracy theories arising from shooting incident.,2026-04-27,Monday,0,"['Krystal', 'Saagar']",Krystal & Saagar,2,1,1,0,0,12.506536432721616,8.852235835227855,7.325148957955575,3,6
0aRIVJLrtIo,OIL SHOCK HERE As Drivers CUT Gas Consumption,2026-04-27,638255,11421,2100,1044,"Krystal and Saagar discuss the global oil shock setting in. 

Sign up for a PREMIUM Breaking Points subscriptions for full early access to uncut shows and LIVE AMAs with the hosts every week: https://breakingpoints.locals.com/support

Merch Store: https://shop.breakingpoints.com/

To listen to Breaking Points as a podcast, check them out on Apple and Spotify

Apple: https://podcasts.apple.com/us/podcast/breaking-points-with-krystal-and-saagar/id1570045623
 
Spotify: https://open.spotify.com/show/4Kbsy61zJSzPxNZZ3PKbXl
 
Facebook: https://www.facebook.com/people/Breaking-Points/61575893472315/

#news #politics #youtube","['breaking points', 'krystal ball', 'saagar enjeti']",https://www.youtube.com/watch?v=0aRIVJLrtIo,Economy / Finance,0.85,Oil market shock driven by changes in consumer gasoline consumption.,2026-04-27,Monday,0,"['Krystal', 'Saagar']",Krystal & Saagar,2,1,1,0,0,13.366493168993923,9.343209045050607,6.950814768442584,4,6
JTykfi298N8,"German Chancellor Says Iran 'HUMILIATED' Trump, No Exit Ramp",2026-04-27,455355,10028,1500,1274,"Krystal and Saagar discuss Germany saying Trump has been humiliated by Iran. 

Sign up for a PREMIUM Breaking Points subscriptions for full early access to uncut shows and LIVE AMAs with the hosts every week: https://breakingpoints.locals.com/support

Merch Store: https://shop.breakingpoints.com/

To listen to Breaking Points as a podcast, check them out on Apple and Spotify

Apple: https://podcasts.apple.com/us/podcast/breaking-points-with-krystal-and-saagar/id1570045623
 
Spotify: https://open.spotify.com/show/4Kbsy61zJSzPxNZZ3PKbXl
 
Facebook: https://www.facebook.com/people/Breaking-Points/61575893472315/

#news #politics #youtube","['breaking points', 'krystal ball', 'saagar enjeti']",https://www.youtube.com/watch?v=JTykfi298N8,Foreign Policy / War,0.9,International diplomatic commentary on Iran's response to Trump.,2026-04-27,Monday,0,"['Krystal', 'Saagar']",Krystal & Saagar,2,1,1,0,0,13.02883261350008,9.213136459278184,7.149916836132109,5,6
OUWrX9St18w,Iran Threatens MASSIVE Barrage As Negotiations COLLAPSE,2026-04-27,389725,11677,1300,1074,"Krystal and Saagar discuss Iran threatening a huge barrage as negotiations collapse. 

Sign up for a PREMIUM Breaking Points subscriptions for full early access to uncut shows and LIVE AMAs with the hosts every week: https://breakingpoints.locals.com/support

Merch Store: https://shop.breakingpoints.com/

To listen to Breaking Points as a podcast, check them out on Apple and Spotify

Apple: https://podcasts.apple.com/us/podcast/breaking-points-with-krystal-and-saagar/id1570045623
 
Spotify: https://open.spotify.com/show/4Kbsy61zJSzPxNZZ3PKbXl
 
Facebook: https://www.facebook.com/people/Breaking-Points/61575893472315/

#news #politics #youtube","['breaking points', 'krystal ball', 'saagar enjeti']",https://www.youtube.com/watch?v=OUWrX9St18w,Foreign Policy / War,0.95,Iran military threat and collapse of international negotiations.,2026-04-27,Monday,0,"['Krystal', 'Saagar']",Krystal & Saagar,2,1,1,0,0,12.873196641180881,9.365376374075716,6.97914527506881,6,6
uhuv6Z0kzWo,"Ann Coulter: Iran War Bad, Iraq War Was Good, Still Support Kash Patel",2026-04-28,152115,3090,2500,1575,"Emily and Saagar are joined by Ann Coulter. 

Ann Coulter: https://anncoulter.substack.com/

Sign up for a PREMIUM Breaking Points subscriptions for full early access to uncut shows and LIVE AMAs with the hosts every week: https://breakingpoints.locals.com/support

Merch Store: https://shop.breakingpoints.com/

To listen to Breaking Points as a podcast, check them out on Apple and Spotify

Apple: https://podcasts.apple.com/us/podcast/breaking-points-with-krystal-and-saagar/id1570045623
 
Spotify: https://open.spotify.com/show/4Kbsy61zJSzPxNZZ3PKbXl
 
Facebook: https://www.facebook.com/people/Breaking-Points/61575893472315/

#news #politics #youtube","['breaking points', 'krystal ball', 'saagar enjeti']",https://www.youtube.com/watch?v=uhuv6Z0kzWo,Foreign Policy / War,0.9,Commentary on Iran war policy and support for military/defense figures.,2026-04-28,Tuesday,1,"['Emily', 'Saagar']",Emily & Saagar,2,0,1,0,1,11.932392092714206,8.035926369891792,7.362010551259734,1,7
I-U3f7cJQJU,"SHOCKING Drone Footage As IDF, Hezbollah Fight Despite Ceasefire",2026-04-28,158376,4997,565,886,"Krystal and Saagar discuss Hezbollah striking the IDF in Lebanon. 

Shaiel Ben-Ephraim: https://x.com/academic_la

Sign up for a PREMIUM Breaking Points subscriptions for full early access to uncut shows and LIVE AMAs with the hosts every week: https://breakingpoints.locals.com/support

Merch Store: https://shop.breakingpoints.com/

To listen to Breaking Points as a podcast, check them out on Apple and Spotify

Apple: https://podcasts.apple.com/us/podcast/breaking-points-with-krystal-and-saagar/id1570045623
 
Spotify: https://open.spotify.com/show/4Kbsy61zJSzPxNZZ3PKbXl
 
Facebook: https://www.facebook.com/people/Breaking-Points/61575893472315/

#news #politics #youtube","['breaking points', 'krystal ball', 'saagar enjeti']",https://www.youtube.com/watch?v=I-U3f7cJQJU,Foreign Policy / War,0.95,Reports on active military conflict between Israel and Hezbollah.,2026-04-28,Tuesday,1,"['Krystal', 'Saagar']",Krystal & Saagar,2,1,1,0,0,11.972727231731367,8.516593011344206,6.786716950605081,2,7
PeKcjVx6m50,Congressman Pushes Bill To Give Benefits To IDF Veterans,2026-04-28,408601,15845,5600,653,"Krystal and Saagar discuss Congress floating veteran benefits for the IDF. 

Sign up for a PREMIUM Breaking Points subscriptions for full early access to uncut shows and LIVE AMAs with the hosts every week: https://breakingpoints.locals.com/support

Merch Store: https://shop.breakingpoints.com/

To listen to Breaking Points as a podcast, check them out on Apple and Spotify

Apple: https://podcasts.apple.com/us/podcast/breaking-points-with-krystal-and-saagar/id1570045623
 
Spotify: https://open.spotify.com/show/4Kbsy61zJSzPxNZZ3PKbXl
 
Facebook: https://www.facebook.com/people/Breaking-Points/61575893472315/

#news #politics #youtube","['breaking points', 'krystal ball', 'saagar enjeti']",https://www.youtube.com/watch?v=PeKcjVx6m50,Domestic Politics,0.8,Congressional legislation regarding military veteran benefits policy.,2026-04-28,Tuesday,1,"['Krystal', 'Saagar']",Krystal & Saagar,2,1,1,0,0,12.920494408743966,9.670609272125022,6.481577129276431,3,7
5BlGIpb4cec,Corrupt Ballroom Scheme REVEALED As Taxpayers May Foot Bill,2026-04-28,162919,4739,1300,1049,"Krystal and Saagar discuss taxpayers footing the bill for Trump's ballroom. 

Sign up for a PREMIUM Breaking Points subscriptions for full early access to uncut shows and LIVE AMAs with the hosts every week: https://breakingpoints.locals.com/support

Merch Store: https://shop.breakingpoints.com/

To listen to Breaking Points as a podcast, check them out on Apple and Spotify

Apple: https://podcasts.apple.com/us/podcast/breaking-points-with-krystal-and-saagar/id1570045623
 
Spotify: https://open.spotify.com/show/4Kbsy61zJSzPxNZZ3PKbXl
 
Facebook: https://www.facebook.com/people/Breaking-Points/61575893472315/

#news #politics #youtube","['breaking points', 'krystal ball', 'saagar enjeti']",https://www.youtube.com/watch?v=5BlGIpb4cec,Domestic Politics,0.85,Government corruption scheme involving taxpayer funds.,2026-04-28,Tuesday,1,"['Krystal', 'Saagar']",Krystal & Saagar,2,1,1,0,0,12.00100842376168,8.463581421967588,6.955592608396297,4,7
