,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Total
Alabama,792,811,809,767,747,784,979,864,876,856,852,885,913,"10,935"
Alaska,52,63,54,49,68,60,78,75,69,62,53,62,75,820
Arizona,695,755,738,782,708,811,856,917,918,908,966,"1,076","1,200","11,330"
Arkansas,517,509,504,460,436,491,504,486,476,473,598,630,577,"6,661"
California,"2,504","2,617","2,733","2,860","2,859","3,123","3,540","3,569","3,485","3,427","3,673","4,196","4,218","42,804"
Colorado,411,407,434,432,451,507,558,600,588,545,574,638,699,"6,844"
Connecticut,299,208,248,265,234,257,292,263,275,233,284,288,332,"3,478"
Delaware,92,94,108,94,109,127,116,112,104,122,104,132,143,"1,457"
District of Columbia,24,22,14,20,21,23,26,29,30,22,34,40,28,333
Florida,"2,261","2,212","2,253","2,223","2,336","2,699","2,935","2,925","2,917","2,952","3,097","3,453","3,315","35,578"
Georgia,"1,150","1,119","1,126","1,085","1,080","1,329","1,424","1,440","1,408","1,378","1,517","1,681","1,677","17,414"
Hawaii,109,97,114,93,94,85,109,96,110,102,81,94,111,"1,295"
Idaho,185,152,169,200,175,198,232,224,215,201,188,246,194,"2,579"
Illinois,858,835,886,895,845,914,"1,000",998,951,938,"1,086","1,210","1,147","12,563"
Indiana,701,676,720,710,704,752,776,838,776,752,815,863,911,"9,994"
Iowa,348,329,330,290,288,282,355,301,291,313,310,329,305,"4,071"
Kansas,376,350,368,327,341,322,381,407,367,361,382,380,364,"4,726"
Kentucky,694,669,694,590,612,694,763,721,664,667,709,734,693,"8,904"
Louisiana,644,634,653,651,665,698,704,705,719,681,762,886,852,"9,254"
Maine,144,126,151,136,115,144,150,163,127,143,151,135,171,"1,856"
Maryland,463,455,462,431,416,479,484,518,485,496,546,524,534,"6,293"
Massachusetts,330,356,365,334,336,327,356,333,338,323,327,393,413,"4,531"
Michigan,873,834,874,876,831,896,981,940,907,903,"1,013","1,073","1,054","12,055"
Minnesota,364,334,349,357,324,375,357,341,349,333,369,451,418,"4,721"
Mississippi,581,567,507,558,543,604,625,609,596,580,685,695,646,"7,796"
Missouri,778,716,762,683,696,803,872,865,848,819,914,931,962,"10,649"
Montana,161,187,192,203,176,204,171,169,167,166,190,222,186,"2,394"
Nebraska,166,164,190,190,203,218,194,210,201,212,217,192,214,"2,571"
Nevada,235,223,238,245,268,297,304,292,299,285,309,360,384,"3,739"
New Hampshire,120,84,101,124,89,103,130,98,134,90,98,106,137,"1,414"
New Jersey,530,586,553,508,523,521,570,591,524,524,549,662,646,"7,287"
New Mexico,317,305,338,275,340,269,361,341,351,369,365,429,419,"4,479"
New York,"1,128","1,093","1,096","1,124",980,"1,061",981,939,910,879,958,"1,098","1,111","13,358"
North Carolina,"1,218","1,143","1,229","1,188","1,188","1,275","1,348","1,306","1,321","1,358","1,415","1,563","1,501","17,053"
North Dakota,92,130,147,133,121,111,102,106,95,91,96,85,96,"1,405"
Ohio,984,942,"1,022",917,917,"1,029","1,053","1,094",996,"1,039","1,154","1,242","1,179","13,568"
Oklahoma,616,609,643,621,589,590,628,613,603,584,600,681,643,"8,020"
Oregon,292,310,306,292,322,411,448,403,446,455,460,552,553,"5,250"
Pennsylvania,"1,208","1,191","1,211","1,119","1,107","1,102","1,088","1,083","1,103",990,"1,060","1,153","1,092","14,507"
Rhode Island,65,63,62,62,51,41,48,77,56,53,66,61,51,756
South Carolina,750,767,806,719,756,911,941,925,969,927,964,"1,112","1,019","11,566"
South Dakota,124,101,118,121,125,116,103,111,110,88,132,131,121,"1,501"
Tennessee,958,867,929,911,893,888,962,942,973,"1,041","1,119","1,229","1,214","12,926"
Texas,"2,746","2,790","3,033","3,047","3,190","3,190","3,427","3,352","3,311","3,296","3,522","4,070","3,966","42,940"
Utah,218,224,200,202,222,258,259,247,237,225,256,297,296,"3,141"
Vermont,63,48,70,63,42,50,57,63,60,44,58,69,73,760
Virginia,689,700,715,682,659,712,722,783,778,774,796,906,944,"9,860"
Washington,422,421,403,401,429,499,504,534,490,513,539,607,701,"6,463"
West Virginia,282,320,318,305,242,246,250,280,265,247,249,259,250,"3,513"
Wisconsin,528,532,549,507,459,523,544,557,531,527,559,572,556,"6,944"
Wyoming,139,120,112,75,131,129,100,105,100,120,114,102,118,"1,465"
