leaid,district_name,state,state_fips,county_fips,county_name,lat,lon,locale
0400001,Cave Creek Unified District (4244),AZ,04,04013,Maricopa County,33.78835,-111.956391,12
0400003,Chino Valley Unified District (4474),AZ,04,04025,Yavapai County,34.7464,-112.453771,31
0400004,Clarkdale-Jerome Elementary District (4486),AZ,04,04025,Yavapai County,34.767043,-112.067391,32
0400005,Salome Consolidated Elementary District (4514),AZ,04,04012,La Paz County,33.781927,-113.619871,43
0400016,Center for Academic Success Inc. (4191),AZ,04,04003,Cochise County,31.55762,-110.290171,33
0400018,Pine Forest Education Association Inc. (4201),AZ,04,04005,Coconino County,35.191784,-111.666654,13
0400019,Flagstaff Arts And Leadership Academy (4202),AZ,04,04005,Coconino County,35.238057,-111.66878,13
0400020,Flagstaff Montessori L.L.C. (4205),AZ,04,04005,Coconino County,35.200466,-111.631429,13
0400021,Colorado City Unified District (4370),AZ,04,04015,Mohave County,36.996523,-113.004242,32
0400022,Vernon Elementary District (4162),AZ,04,04001,Apache County,34.253504,-109.692177,43
0400023,Pinon Unified District (4390),AZ,04,04017,Navajo County,36.112139,-110.216233,43
0400026,Heber-Overgaard Unified District (4392),AZ,04,04017,Navajo County,34.426548,-110.59637,43
0400028,Triumphant Learning Center (4225),AZ,04,04009,Graham County,32.83311,-109.7052,33
0400031,Ridgeline Academy Inc. (4301),AZ,04,04013,Maricopa County,33.79011,-112.120611,11
0400033,Boys & Girls Clubs of the East Valley dba Mesa Art (4305),AZ,04,04013,Maricopa County,33.403803,-111.836464,11
0400034,Reid Traditional Schools' Valley Academy Inc. (4306),AZ,04,04013,Maricopa County,33.6207,-112.115121,11
0400036,Foothills Academy (4309),AZ,04,04013,Maricopa County,33.77625,-111.926627,12
0400037,Twenty First Century Charter School Inc. Bennett  (4310),AZ,04,04013,Maricopa County,33.524779,-112.122939,11
0400040,STEP UP Schools Inc. (4313),AZ,04,04013,Maricopa County,33.424138,-111.830049,11
0400041,Maricopa County Community College District dba Gat (4314),AZ,04,04013,Maricopa County,33.44933,-111.997097,11
0400043,New School For The Arts (4316),AZ,04,04013,Maricopa County,33.415439,-111.919058,12
0400047,Salt River Pima-Maricopa  Community Schools (4320),AZ,04,04013,Maricopa County,33.506913,-111.838363,41
0400052,Espiritu Community Development Corp. (4335),AZ,04,04013,Maricopa County,33.401922,-112.071451,11
