leaid,zip,state,county_fips,lat,lon
0400001,85266,AZ,04013,33.346541,-112.495534
0400003,86323,AZ,04025,34.630044,-112.573745
0400004,86324,AZ,04025,34.630044,-112.573745
0400005,85348,AZ,04012,33.727625,-114.038793
0400016,85635,AZ,04003,31.881793,-109.75412
0400018,86001,AZ,04005,35.829692,-111.773728
0400019,86001,AZ,04005,35.829692,-111.773728
0400020,86001,AZ,04005,35.829692,-111.773728
0400021,86021,AZ,04015,35.717705,-113.749689
0400022,85940,AZ,04001,35.385845,-109.493747
0400023,86510,AZ,04017,35.390934,-110.320908
0400026,85928,AZ,04017,35.390934,-110.320908
0400028,85546,AZ,04009,32.931828,-109.87831
0400031,85085,AZ,04013,33.346541,-112.495534
0400033,85210,AZ,04013,33.346541,-112.495534
0400034,85023,AZ,04013,33.346541,-112.495534
0400036,85266,AZ,04013,33.346541,-112.495534
0400037,85017,AZ,04013,33.346541,-112.495534
0400040,85201,AZ,04013,33.346541,-112.495534
0400041,85034,AZ,04013,33.346541,-112.495534
0400043,85281,AZ,04013,33.346541,-112.495534
0400047,85256,AZ,04013,33.346541,-112.495534
0400052,85040,AZ,04013,33.346541,-112.495534
0400053,85210,AZ,04013,33.346541,-112.495534
0400054,85016,AZ,04013,33.346541,-112.495534
0400055,85051,AZ,04013,33.346541,-112.495534
0400056,85004,AZ,04013,33.346541,-112.495534
0400057,85003,AZ,04013,33.346541,-112.495534
0400061,85021,AZ,04013,33.346541,-112.495534
0400065,85296,AZ,04013,33.346541,-112.495534
0400067,85041,AZ,04013,33.346541,-112.495534
0400068,85021,AZ,04013,33.346541,-112.495534
0400069,85004,AZ,04013,33.346541,-112.495534
0400070,85282,AZ,04013,33.346541,-112.495534
0400071,85224,AZ,04013,33.346541,-112.495534
0400072,85204,AZ,04013,33.346541,-112.495534
0400074,86409,AZ,04015,35.717705,-113.749689
0400075,86426,AZ,04015,35.717705,-113.749689
0400077,85939,AZ,04017,35.390934,-110.320908
0400078,85716,AZ,04019,32.128237,-111.783018
0400079,85705,AZ,04019,32.128237,-111.783018
0400081,85719,AZ,04019,32.128237,-111.783018
0400082,86426,AZ,04015,35.717705,-113.749689
0400083,85714,AZ,04019,32.128237,-111.783018
0400089,86336,AZ,04025,34.630044,-112.573745
0400090,86323,AZ,04025,34.630044,-112.573745
0400092,86314,AZ,04025,34.630044,-112.573745
0400093,86303,AZ,04025,34.630044,-112.573745
0400094,85364,AZ,04027,32.773942,-113.910905
0400095,85364,AZ,04027,32.773942,-113.910905
0400096,86001,AZ,04005,35.829692,-111.773728
0400097,86004,AZ,04005,35.829692,-111.773728
0400098,86001,AZ,04005,35.829692,-111.773728
0400099,85501,AZ,04007,33.789618,-110.81187
0400100,85023,AZ,04013,33.346541,-112.495534
0400102,85003,AZ,04013,33.346541,-112.495534
0400103,85018,AZ,04013,33.346541,-112.495534
0400104,85283,AZ,04013,33.346541,-112.495534
0400105,85206,AZ,04013,33.346541,-112.495534
0400106,85032,AZ,04013,33.346541,-112.495534
0400107,85014,AZ,04013,33.346541,-112.495534
0400108,85014,AZ,04013,33.346541,-112.495534
0400109,85016,AZ,04013,33.346541,-112.495534
0400111,85284,AZ,04013,33.346541,-112.495534
0400112,85142,AZ,04013,33.346541,-112.495534
0400113,85268,AZ,04013,33.346541,-112.495534
0400115,85749,AZ,04019,32.128237,-111.783018
0400120,85007,AZ,04013,33.346541,-112.495534
0400121,85028,AZ,04013,33.346541,-112.495534
0400122,85033,AZ,04013,33.346541,-112.495534
0400124,85004,AZ,04013,33.346541,-112.495534
0400125,85705,AZ,04019,32.128237,-111.783018
0400126,85719,AZ,04019,32.128237,-111.783018
0400128,85008,AZ,04013,33.346541,-112.495534
0400129,85745,AZ,04019,32.128237,-111.783018
0400130,86326,AZ,04025,34.630044,-112.573745
0400131,85018,AZ,04013,33.346541,-112.495534
0400133,85345,AZ,04013,33.346541,-112.495534
0400134,85258,AZ,04013,33.346541,-112.495534
0400135,85308,AZ,04013,33.346541,-112.495534
0400141,85543,AZ,04009,32.931828,-109.87831
0400144,85013,AZ,04013,33.346541,-112.495534
0400145,85201,AZ,04013,33.346541,-112.495534
0400147,85719,AZ,04019,32.128237,-111.783018
0400149,85020,AZ,04013,33.346541,-112.495534
0400150,85621,AZ,04023,31.525904,-110.84519
0400151,85204,AZ,04013,33.346541,-112.495534
0400153,85014,AZ,04013,33.346541,-112.495534
0400154,86054,AZ,04017,35.390934,-110.320908
0400157,85204,AZ,04013,33.346541,-112.495534
0400159,85705,AZ,04019,32.128237,-111.783018
0400160,85709,AZ,,,
0400163,86004,AZ,04005,35.829692,-111.773728
0400164,85014,AZ,04013,33.346541,-112.495534
0400165,85048,AZ,04013,33.346541,-112.495534
0400178,85533,AZ,04011,33.238872,-109.242323
0400181,85032,AZ,04013,33.346541,-112.495534
0400182,85207,AZ,04013,33.346541,-112.495534
0400184,85224,AZ,04013,33.346541,-112.495534
0400185,85040,AZ,04013,33.346541,-112.495534
0400187,85086,AZ,04013,33.346541,-112.495534
0400189,85203,AZ,04013,33.346541,-112.495534
0400190,85031,AZ,04013,33.346541,-112.495534
0400191,85042,AZ,04013,33.346541,-112.495534
0400192,85118,AZ,04021,32.91891,-111.367257
0400197,85937,AZ,04017,35.390934,-110.320908
0400201,85714,AZ,04019,32.128237,-111.783018
0400202,85748,AZ,04019,32.128237,-111.783018
0400204,85741,AZ,04019,32.128237,-111.783018
0400205,85629,AZ,04019,32.128237,-111.783018
0400206,85716,AZ,04019,32.128237,-111.783018
0400208,86301,AZ,04025,34.630044,-112.573745
0400209,86314,AZ,04025,34.630044,-112.573745
0400210,86301,AZ,04025,34.630044,-112.573745
0400211,86301,AZ,04025,34.630044,-112.573745
0400212,85602,AZ,04003,31.881793,-109.75412
